method,url,headers,body,label
PUT,/api/v1/users/98967/profile?ref=homepage,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""title"": ""python"", ""name"": ""journal"", ""price"": ""479"", ""email"": ""project"", ""username"": ""keyboard""}",benign
DELETE,/checkout/cart?q=%27%20OR%201%3D1%20LIMIT%201--,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""text/html,application/xhtml+xml""}",,sqli
GET,/api/v1/users/13615/profile?limit=90&filter=jacket,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json""}",,benign
GET,/apps/49120/api/v1/items?page=26&sort=price_desc&filter=dog&search=CHAR%2839%29%7C%7CCHAR%2879%29%7C%7CCHAR%2882%29,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""referer"": ""https://example.com/dashboard/apps/54773/metrics""}",,sqli
DELETE,/checkout/cart?offset=475,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
PUT,"/search?offset=352&search=localhost | python -c 'import os;os.system(""id"")'","{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/items/25188""}","{""category"": ""linux"", ""quantity"": ""319"", ""title"": ""ubuntu""}",cmdi
PUT,/register?brand=id verification process&limit=25&q=biography,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""title"": ""journal"", ""description"": ""studio""}",benign
GET,/categories/toys/products?ref=social&q=pizza,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.193.134.146""}",,benign
GET,/blog/2023/watch-novel?max=74028&q=shirt,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.1.198.86""}",,benign
GET,/items/34365?page=45&q=curl%20your%20hair%20overnight&brand=dell,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""x-forwarded-for"": ""10.7.86.61""}",,benign
PUT,/apps/app-37630/dashboard?q=pizza&input=| /bin/bash -c 'id',"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""price"": ""452"", ""name"": ""book"", ""category"": ""electronics"", ""description"": ""resume"", ""value"": ""trousers""}",cmdi
GET,/api/apps/99968/deploy,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.19.1.94""}",,benign
POST,/checkout/cart?max=24023&q=tea&page=41&id=8.8.8.8; cat /proc/self/environ,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/v2/orders/26813/items""}","{""category"": ""dog"", ""description"": ""docker"", ""price"": ""351"", ""name"": ""tea""}",cmdi
POST,/dashboard/apps/9575/metrics,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/11159/api/v1/items"", ""x-forwarded-for"": ""10.199.199.74""}","{""title"": ""diner"", ""name"": ""juice"", ""description"": ""salad""}",benign
POST,/register?brand=apple&min=1627,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""description"": ""juice"", ""value"": ""golang"", ""email"": ""java"", ""category"": ""burger"", ""quantity"": ""392""}",benign
POST,/products/16913/reviews?lang=de&sort=popularity&filter=whiskas&brand=lenovo,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/92634/api/v1/items""}","{""price"": ""261"", ""description"": ""textbook""}",benign
GET,/products/43793/reviews?ref=search&brand=samsung,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/apps/85685/api/v1/items""}",,benign
DELETE,/api/v1/users/99788/profile?category=document.cookie%20policy%20explained,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.224.174.58""}",,benign
PUT,/checkout/cart?q=linux&format=O'Brien's cafe&lang=fr,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""howto"", ""description"": ""journal""}",benign
PUT,/items/53298?offset=424&id=;cat /etc/passwd,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/login""}","{""price"": ""448"", ""title"": ""journal"", ""username"": ""biography"", ""description"": ""portfolio"", ""name"": ""golang""}",cmdi
DELETE,/admin/settings/security?max=43930&format=csv,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""referer"": ""https://example.com/api/v2/orders/9196/items""}",,benign
DELETE,/apps/99441/api/v1/items?category=food&limit=27,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*""}",,benign
PUT,/api/v1/users/90942/profile?max=cat /etc/resolvconf documentation&ref=search,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""python"", ""name"": ""tutorial"", ""title"": ""tea"", ""email"": ""coffee""}",benign
GET,/api/v2/orders/34868/items?offset=454&limit=45&q=javascript,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*""}",,benign
POST,/api/v2/orders/1385/items?offset=279,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/register""}","{""username"": ""diner"", ""description"": ""bag""}",benign
DELETE,/items/49520?brand=asus,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json""}",,benign
GET,/api/v1/users/28529/profile?ref=homepage,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/checkout/cart"", ""x-forwarded-for"": ""10.232.195.222""}",,benign
DELETE,/register?brand=lenovo&sort=rating&format=xml&filter=smoothie,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""*/*""}",,benign
DELETE,/items/76506?format=csv,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""referer"": ""https://example.com/api/v1/users/33454/profile""}",,benign
POST,/products/27077/reviews,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""quantity"": ""175"", ""category"": ""python""}",benign
DELETE,/apps/app-74289/dashboard?category=books&page=36&min=2606&input=%24%28cat%20%2Fetc%2Fhosts%29,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/docs/guide-ansible""}",,cmdi
POST,/dashboard/apps/70051/metrics?page=34&sort=rating&filter=book&lang=ja,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""category"": ""pizza"", ""quantity"": ""208"", ""price"": ""363"", ""title"": ""javascript"", ""description"": ""whiskas""}",benign
POST,/register,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/blog/2022/burger-typescript-apartment-ansible""}","{""category"": ""flat"", ""description"": ""jacket"", ""email"": ""book""}",benign
GET,/api/apps/63265/deploy?limit=83&search=%27%3Balert%28String.fromCharCode%2888%2C83%2C83%29%29%2F%2F,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/api/v1/users/71194/profile"", ""x-forwarded-for"": ""10.193.140.90""}",,xss
POST,/apps/76044?filter=flat&lang=ja,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/account/preferences"", ""x-forwarded-for"": ""10.189.108.192""}","{""username"": ""cat"", ""title"": ""headphones"", ""name"": ""dog"", ""email"": ""docker"", ""category"": ""magazine""}",benign
GET,/items/83767?limit=51&max=75847&sort=popularity,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""application/json"", ""referer"": ""https://example.com/admin/settings/security"", ""x-forwarded-for"": ""10.33.26.244""}",,benign
DELETE,/apps/32564?id=%27%20OR%201%3D1%3B%20DROP%20TABLE%20users--,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*""}",,sqli
POST,/apps/app-98748/dashboard?sort=newest&min=4004&page=36&q=house,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/login"", ""x-forwarded-for"": ""10.173.78.223""}","{""value"": ""linux"", ""title"": ""shirt"", ""quantity"": ""431""}",benign
PUT,/blog/2026/cat-resume?q=textbook,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""category"": ""headphones"", ""name"": ""dog"", ""email"": ""typescript"", ""quantity"": ""433""}",benign
PUT,/admin/settings/security,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/register""}","{""name"": ""villa"", ""username"": ""journal"", ""title"": ""shirt"", ""category"": ""smoothie"", ""value"": ""camera""}",benign
GET,/apps/21028?limit=50,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/register"", ""x-forwarded-for"": ""10.193.177.109""}",,benign
GET,/login?sort=relevance&page=22&lang=en&q=admin'--,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.93.110.83""}",,sqli
PUT,/api/v1/users/19450/profile?format=json,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/docs/watch-ring-smoothie-pizza""}","{""category"": ""portfolio"", ""quantity"": ""411"", ""price"": ""125"", ""description"": ""whiskas"", ""title"": ""bag""}",benign
POST,/items/57831?q=camera,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/40834"", ""x-forwarded-for"": ""10.183.69.39""}","{""category"": ""electronics"", ""quantity"": ""459"", ""price"": ""183""}",benign
POST,/login?ref=email&limit=45,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""description"": ""whiskas"", ""quantity"": ""323"", ""category"": ""cat"", ""title"": ""electronics"", ""name"": ""studio""}",benign
POST,/login?q=CHAR(39)||CHAR(79)||CHAR(82)&format=xml,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/blog/2025/whiskas-kubernetes-monitor""}","{""title"": ""cafe"", ""quantity"": ""473""}",sqli
GET,/admin/settings/security?brand=whiskas&lang=es&page=16&offset=100,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*""}",,benign
GET,/blog/2023/monitor-python?category=electronics&ref=social&search=<a href=javascript:alert(1)>click me</a>,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,xss
POST,/login?format=use `code` blocks in markdown,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""name"": ""textbook"", ""username"": ""ring"", ""category"": ""cat""}",benign
POST,/admin/settings/security?page=17&category=furniture&limit=43,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""value"": ""ansible"", ""description"": ""' OR 1=1 LIMIT 1--""}",sqli
GET,/products/63381/reviews?filter=tutorial&page=41&search=1%27%20ORDER%20BY%201--,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json""}",,sqli
DELETE,/blog/2022/java-pet,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*""}",,benign
DELETE,/api/apps/30657/deploy?search=%60%20cat%20%2Fetc%2Fshadow%20%60,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""application/json""}",,cmdi
DELETE,/api/v1/users/16843/profile?filter=price > 100 & < 500,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
POST,/search?sort=price_asc&min=eval%20your%20options%20before%20buying&ref=social,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""application/json"", ""content-type"": ""application/json""}","{""email"": ""juice"", ""quantity"": ""270"", ""value"": ""typescript""}",benign
GET,/blog/2022/ansible-jacket-java?max=73655&ref=social&min=691&sort=relevance,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/blog/2024/journal-food""}",,benign
POST,/apps/app-12844/dashboard?limit=89,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/admin/settings/security""}","{""quantity"": ""283"", ""value"": ""house""}",benign
PUT,/account/preferences?id=1%3B%20SELECT%20%2A%20FROM%20information_schema.tables--,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.235.129.240""}","{""description"": ""villa"", ""username"": ""journal"", ""price"": ""482""}",sqli
POST,/categories/sports/products?category=sports&q=vbscript%3Amsgbox%281%29,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/items/7747""}","{""description"": ""diner"", ""title"": ""keyboard"", ""category"": ""salad"", ""username"": ""electronics""}",xss
DELETE,/api/v2/orders/26514/items?page=1,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/account/preferences"", ""x-forwarded-for"": ""10.49.63.110""}",,benign
POST,/api/apps/2414/deploy?limit=24&format=csv,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""category"": ""howto"", ""price"": ""303"", ""value"": ""pet""}",benign
POST,/blog/2022/bag-kubernetes-magazine?ref=homepage,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""name"": ""shirt"", ""description"": ""' OR 1=1 LIMIT 1--"", ""value"": ""tutorial"", ""comment"": ""tea""}",sqli
POST,/api/v2/orders/88143/items?brand=sony&offset=398&page=49,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/dashboard/apps/5040/metrics"", ""x-forwarded-for"": ""10.210.205.61""}","{""category"": ""resume"", ""description"": ""resume"", ""email"": ""java""}",benign
POST,/api/apps/92637/deploy?limit=74&min=251&q=%3Cinput%20autofocus%20onfocus%3Dalert%281%29%3E,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/docs/burger-ubuntu-dog-salad"", ""x-forwarded-for"": ""10.81.39.165""}","{""email"": ""diner"", ""category"": ""pizza"", ""name"": ""villa""}",xss
GET,/apps/64270/api/v1/items?format=xml&sort=relevance,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
POST,/login?q=guide&ref=social&filter=golang&max=6531,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.9.74.58""}","{""category"": ""apartment"", ""description"": ""docker"", ""title"": ""headphones"", ""quantity"": ""180""}",benign
GET,/docs/cafe-burger-food-apartment?page=39&sort=price_asc,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json""}",,benign
POST,/account/preferences?filter=ring&limit=93&category=clothing,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""quantity"": ""12"", ""value"": ""journal"", ""category"": ""python"", ""name"": ""studio""}",benign
DELETE,/admin/settings/security?q=jacket&page=19,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/admin/settings/security"", ""x-forwarded-for"": ""10.182.195.11""}",,benign
PUT,/items/10294?category=electronics&page=13&min=3084,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/account/preferences""}","{""value"": ""python"", ""description"": ""dress"", ""email"": ""studio"", ""quantity"": ""75""}",benign
DELETE,/apps/52335/api/v1/items?sort=newest,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
GET,/apps/36636?q=burger&ref=search&lang=de,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json"", ""referer"": ""https://example.com/api/v1/users/38676/profile""}",,benign
GET,/items/60012?limit=41&category=electronics&lang=fr,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""application/json""}",,benign
DELETE,/docs/ansible-rust-laptop-villa?sort=price_desc,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""application/json"", ""x-forwarded-for"": ""10.21.37.30""}",,benign
PUT,/api/v1/users/77424/profile,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""name"": ""electronics"", ""email"": ""python"", ""quantity"": ""20""}",benign
GET,/login?offset=58&max=cat food and treats,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""application/json""}",,benign
POST,/dashboard/apps/72183/metrics?category=furniture&page=50&limit=29&max=cat food and treats,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.229.252.85""}","{""description"": ""villa"", ""title"": ""smoothie""}",benign
DELETE,/admin/settings/security?q=bag&ref=email&lang=ja&input=1; EXEC xp_cmdshell('dir')--,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json""}",,sqli
PUT,/search?min=585&category=food,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/apps/app-68632/dashboard""}","{""email"": ""camera"", ""price"": ""241"", ""username"": ""smoothie""}",benign
GET,/apps/48015/api/v1/items?filter=watch&lang=fr&brand=sony&q=| ls -la,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/search""}",,cmdi
DELETE,/api/v2/orders/63379/items?offset=238,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.179.95.235""}",,benign
GET,/checkout/cart?offset=435,"{""user-agent"": ""curl/8.4.0"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.161.139.187""}",,benign
DELETE,/api/apps/69314/deploy,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""referer"": ""https://example.com/apps/25189/api/v1/items""}",,benign
DELETE,/account/preferences?filter=villa&q=biography&offset=308&category=electronics,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*""}",,benign
PUT,/admin/settings/security?max=50412&format=xml&id=1' GROUP BY 1--,"{""user-agent"": ""1' GROUP BY 1--"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""description"": ""obrien"", ""email"": ""docker""}",sqli
POST,/blog/2026/book-salad-monitor-smoothie?offset=356&max=94013&search=%27%20OR%20%27a%27%3D%27a,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/checkout/cart""}","{""quantity"": ""246"", ""email"": ""rust""}",sqli
GET,/admin/settings/security?min=3805,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json""}",,benign
DELETE,/api/apps/37882/deploy?offset=258,"{""user-agent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/126 Safari/537.36"", ""accept"": ""text/html,application/xhtml+xml"", ""referer"": ""https://example.com/apps/30020""}",,benign
PUT,/items/68005,"{""user-agent"": ""axios/1.6.0"", ""accept"": ""*/*"", ""content-type"": ""application/json""}","{""category"": ""food"", ""value"": ""burger"", ""name"": ""monitor"", ""email"": ""watch""}",benign
DELETE,/blog/2026/docker-bag?format=select the best laptop for work&category=sports,"{""user-agent"": ""python-requests/2.31.0"", ""accept"": ""*/*"", ""x-forwarded-for"": ""10.76.65.35""}",,benign
GET,/docs/magazine-resume-juice-java?filter=ring&category=pets,"{""user-agent"": ""Go-http-client/1.1"", ""accept"": ""*/*"", ""referer"": ""https://example.com/items/24757"", ""x-forwarded-for"": ""10.122.188.72""}",,benign
PUT,/docs/portfolio-cat-house-diner?q=| ls -la,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml"", ""content-type"": ""application/json""}","{""title"": ""smoothie"", ""value"": ""headphones"", ""quantity"": ""371""}",cmdi
DELETE,/categories/furniture/products?offset=order%20by%20date%20asc,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""text/html,application/xhtml+xml""}",,benign
PUT,/apps/57309/api/v1/items?offset=269&min=3461&lang=fr&max=56104,"{""user-agent"": ""PostmanRuntime/7.36"", ""accept"": ""*/*"", ""content-type"": ""application/json"", ""referer"": ""https://example.com/api/v1/users/99744/profile""}","{""username"": ""watch"", ""value"": ""camera"", ""quantity"": ""281"", ""category"": ""jacket""}",benign
POST,/login,"{""user-agent"": ""Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0"", ""accept"": ""application/json"", ""content-type"": ""application/json"", ""x-forwarded-for"": ""10.133.175.10""}","{""price"": ""433"", ""name"": ""terraform"", ""username"": ""electronics"", ""description"": ""diner""}",benign
GET,/admin/settings/security?input=`whoami`,"{""user-agent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_0) AppleWebKit/605 Safari/605"", ""accept"": ""application/json"", ""referer"": ""https://example.com/api/v2/orders/25370/items""}",,cmdi
